,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OB Master Checklist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click here for OB data from February 28, 2023 or earlier",,,,,,,TABP,,Tech Operations,,,HRAD,,OD,,HRAD & TABP,,,,,,,,,,,,,,,,,,,,,
"Ex-staff & MFJ Transfer: will insert Note as ""Ex-staff"" or ""MFJ Transfer"" and note the details (if any) at column AH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MFJ: will select as ""MFJ"" for Expat only at column K",,,,,,,#REF!,,50.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,578.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New member Information,,,,,,,,,,,,,https://request.base.vn/requests?request=1546899,,,,,,,Day 1,,,,,,,,,,,First 5 days,,After first 2 weeks,After first month,After first 2 months,Note/ Comment,
OB date ,Fullname,Nickname,Pronunciation,Candidate ID,Position,Grade,Role,Section/ Project,Department,Department Manager,Probation,Type of member,1. Slack Notification Confirmation,2. OB Schedule's confirmation,3. Seat & Buddy Confirmation,"4. Info collection via: Base/ Google form 
",5. Logistic Preparation,6. Domain/ Account Creation,"7. Setup enviroment: devices/ tools/ acounts/ Laptop screen
",1. Welcome & LC/ paperworks signing,2. Seat confirmation and Welcome kit/ Elevator card handover,"3. Laptop/ Monitor handover & Papers sign
Assist newcomer with Set up","4. Company tour
Etown/ B1 tour",5. Set up fingerprint entry system,6. Stakeholders & Buddy Introduction,7. Newcomer welcome notification on Slack,8. Add to Slack user group,"8. OB Orientation Courses
SRE training: Information Security ","9. Orientation
L&D - Corp Dev: Courses, Quiz & Test
+ Compliance Orientation
+ HRAD",10. Conduct offline HR-onboarding,1. Meeting with BO Director ,2. MFJ program,1. Bi-weekly Catch up 2 weeks/ time,1. Join Culture Sharing,1. Probation/ Wrap-up meeting,,MFJ email
"Sep 22, 2025",A,TBD,,1111,Engineer,4,Senior,HRS,3,Charlie,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,#REF!
"Sep 23, 2025",B,TBD,,2222,Engineer,3,Senior,HRS,QA,Cherry,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,#REF!
"Sep 24, 2025",C,TBD,,3333,Engineer,3,Senior,HRS,QA,Cherry,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,#REF!
"Sep 25, 2025",D,TBD,,4444,Engineer,3,Senior,HRS,QA,Cherry,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Sep 26, 2025",E,TBD,,5555,Engineer,3,Senior,AA,3,Dave,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,#REF!
"Sep 27, 2025",F,TBD,,6666,Information Security and Corporate IT Manager,4,Manager,AA,Corp IT Department,Naomi,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,#REF!
"Sep 28, 2025",A,TBD,,7777,Senior Accerelator,3,Senior,AA,3,Dave,Yes,Others,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,#REF!
"Sep 29, 2025",G,TBD,,8888,Engineer,3,Senior,AA,4,James,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,#REF!
"Sep 30, 2025",H,TBD,,9999,Engineer,3,#REF!,Site Reliability,Tech Director Office,James,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,#REF!
"Oct 1, 2025",I,TBD,,11110,Senior Accelerator,3,Senior,Site Reliability,3,James,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Oct 2, 2025",J,TBD,,12221,Engineer,3,Senior,Site Reliability,3,Ness,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Oct 3, 2025",K,TBD,,13332,Senior Software Engineer (Frontend),3,Senior,SCI,4,Ness,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Oct 4, 2025",L,TBD,,14443,Engineer,3,Senior,SCI,3,Ness,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Oct 5, 2025",M,TBD,,15554,Engineer,3,Senior,SCI,3,Bamboo,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Oct 6, 2025",N,TBD,,16665,Engineer,3,Senior,Lease Accounting,3,Bamboo,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"Oct 7, 2025",,TBD,,17776,Engineer,3,Senior,Lease Accounting,3,Bamboo,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 8, 2025",,TBD,,18887,Engineer,3,Senior,Lease Accounting,3,Bamboo,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 9, 2025",,TBD,,19998,Senior Software Engineer (Frontend),3,Senior,AA,3,Dave,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 10, 2025",,TBD,,21109,Engineer,3,Senior,AA,4,Dave,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 11, 2025",,TBD,,22220,Engineer,3,Senior,AA,3,Dave,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 12, 2025",,TBD,,23331,Engineer,3,Senior,PJC,3,Harry,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 13, 2025",,TBD,,24442,Engineer,3,Senior,PJC,3,Harry,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 14, 2025",,TBD,,25553,Engineer,3,Senior,PJC,3,Harry,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 15, 2025",,TBD,,26664,Engineer,3,Senior,PJC,3,Harry,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 16, 2025",,TBD,,27775,Engineer,5,Manager,Conac,4,James,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 17, 2025",,TBD,,28886,Engineer,5,Manager,HRS,4,James,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 18, 2025",,TBD,,29997,Engineer,3,Senior,ERP,Tech Director Office,James,Yes,Employee,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 19, 2025",,TBD,,31108,Engineer,5,Manager,Home,3,James,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"Oct 20, 2025",,TBD,,32219,Engineer,4,Principal,Conac/ SCI,3,Harry,Yes,Employee,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,